OrderNumber,Sales Channel,WarehouseCode,ProcuredDate,OrderDate,ShipDate,DeliveryDate,CurrencyCode,_SalesTeamID,_CustomerID,_StoreID,_ProductID
SO - 000155,Wholesale,WARE-MKL1006,31/12/2017,5/6/2018,3/7/2018,8/7/2018,USD,27,13,360,4
SO - 000156,Distributor,WARE-NMK1003,31/12/2017,6/6/2018,2/7/2018,8/7/2018,USD,24,32,148,33
SO - 000157,Online,WARE-NMK1003,31/12/2017,6/6/2018,22/6/2018,23/6/2018,USD,19,28,103,45
SO - 000158,Online,WARE-NBV1002,31/12/2017,6/6/2018,9/6/2018,12/6/2018,USD,13,8,59,45
SO - 000159,Online,WARE-NBV1002,31/12/2017,6/6/2018,1/7/2018,4/7/2018,USD,14,47,60,1
SO - 000160,In-Store,WARE-UHY1004,31/12/2017,7/6/2018,14/6/2018,16/6/2018,USD,11,33,238,20
SO - 000161,In-Store,WARE-NMK1003,31/12/2017,7/6/2018,13/6/2018,15/6/2018,USD,3,26,151,21
SO - 000162,Online,WARE-NMK1003,31/12/2017,7/6/2018,11/6/2018,21/6/2018,USD,13,20,152,44
SO - 000163,Online,WARE-PUJ1005,10/4/2018,7/6/2018,10/6/2018,13/6/2018,USD,20,6,262,8
SO - 000164,In-Store,WARE-NMK1003,10/4/2018,7/6/2018,1/7/2018,2/7/2018,USD,5,40,120,46
SO - 000165,Online,WARE-UHY1004,10/4/2018,7/6/2018,11/6/2018,13/6/2018,USD,18,23,233,46
SO - 000166,Online,WARE-NBV1002,10/4/2018,7/6/2018,15/6/2018,25/6/2018,USD,13,38,77,39
SO - 000167,In-Store,WARE-NBV1002,10/4/2018,7/6/2018,13/6/2018,21/6/2018,USD,4,30,69,11
SO - 000168,Distributor,WARE-UHY1004,31/12/2017,8/6/2018,19/6/2018,25/6/2018,USD,23,42,215,37
SO - 000169,In-Store,WARE-XYS1001,31/12/2017,8/6/2018,11/6/2018,17/6/2018,USD,9,1,30,35
SO - 000170,Distributor,WARE-NMK1003,31/12/2017,8/6/2018,14/6/2018,19/6/2018,USD,25,11,169,10
SO - 000171,Distributor,WARE-MKL1006,10/4/2018,8/6/2018,14/6/2018,15/6/2018,USD,24,4,333,14
SO - 000172,Wholesale,WARE-NMK1003,10/4/2018,8/6/2018,13/6/2018,20/6/2018,USD,28,6,96,10
SO - 000173,Distributor,WARE-PUJ1005,10/4/2018,8/6/2018,3/7/2018,9/7/2018,USD,24,17,289,45
SO - 000174,In-Store,WARE-NMK1003,10/4/2018,8/6/2018,30/6/2018,6/7/2018,USD,3,7,140,22
SO - 000175,In-Store,WARE-NMK1003,10/4/2018,9/6/2018,28/6/2018,3/7/2018,USD,1,1,107,1
SO - 000176,In-Store,WARE-MKL1006,10/4/2018,9/6/2018,12/6/2018,16/6/2018,USD,11,27,338,35
SO - 000177,In-Store,WARE-UHY1004,10/4/2018,9/6/2018,23/6/2018,24/6/2018,USD,5,33,232,15
SO - 000178,Wholesale,WARE-UHY1004,10/4/2018,9/6/2018,5/7/2018,13/7/2018,USD,26,28,231,28
SO - 000179,Online,WARE-NMK1003,10/4/2018,9/6/2018,14/6/2018,17/6/2018,USD,13,42,158,11
SO - 000180,Online,WARE-XYS1001,31/12/2017,9/6/2018,27/6/2018,1/7/2018,USD,18,5,36,29
SO - 000181,In-Store,WARE-UHY1004,10/4/2018,9/6/2018,5/7/2018,13/7/2018,USD,3,10,206,28
SO - 000182,In-Store,WARE-UHY1004,10/4/2018,10/6/2018,7/7/2018,9/7/2018,USD,10,34,255,15
SO - 000183,Online,WARE-MKL1006,10/4/2018,10/6/2018,28/6/2018,2/7/2018,USD,14,23,336,27
SO - 000184,Online,WARE-PUJ1005,10/4/2018,10/6/2018,30/6/2018,5/7/2018,USD,20,18,307,15
SO - 000185,Online,WARE-XYS1001,31/12/2017,10/6/2018,30/6/2018,3/7/2018,USD,15,8,9,28
SO - 000186,Online,WARE-NMK1003,10/4/2018,10/6/2018,16/6/2018,24/6/2018,USD,13,36,200,18
SO - 000187,In-Store,WARE-MKL1006,31/12/2017,11/6/2018,29/6/2018,1/7/2018,USD,6,47,337,30
SO - 000188,Online,WARE-NMK1003,31/12/2017,11/6/2018,16/6/2018,19/6/2018,USD,15,27,158,31
SO - 000189,Online,WARE-UHY1004,31/12/2017,11/6/2018,13/6/2018,16/6/2018,USD,13,5,249,8
SO - 000190,Online,WARE-NMK1003,31/12/2017,11/6/2018,28/6/2018,7/7/2018,USD,20,38,185,5
SO - 000191,Online,WARE-NMK1003,10/4/2018,11/6/2018,7/7/2018,8/7/2018,USD,20,21,189,10
SO - 000192,Distributor,WARE-NMK1003,10/4/2018,11/6/2018,28/6/2018,6/7/2018,USD,22,24,170,43
SO - 000193,Distributor,WARE-NMK1003,10/4/2018,11/6/2018,21/6/2018,24/6/2018,USD,21,25,130,37
SO - 000194,In-Store,WARE-NMK1003,31/12/2017,12/6/2018,16/6/2018,22/6/2018,USD,5,11,149,15
SO - 000195,Distributor,WARE-NMK1003,10/4/2018,12/6/2018,28/6/2018,3/7/2018,USD,24,17,99,33
SO - 000196,Wholesale,WARE-XYS1001,31/12/2017,12/6/2018,25/6/2018,27/6/2018,USD,27,5,21,17
SO - 000197,Online,WARE-NMK1003,31/12/2017,12/6/2018,9/7/2018,16/7/2018,USD,18,30,90,1
SO - 000198,Online,WARE-MKL1006,31/12/2017,12/6/2018,15/6/2018,18/6/2018,USD,14,9,360,15
SO - 000199,In-Store,WARE-XYS1001,10/4/2018,12/6/2018,5/7/2018,14/7/2018,USD,4,47,23,47
SO - 000200,Online,WARE-NMK1003,31/12/2017,12/6/2018,22/6/2018,29/6/2018,USD,20,5,144,40
SO - 000201,Wholesale,WARE-NMK1003,31/12/2017,12/6/2018,20/6/2018,29/6/2018,USD,28,23,134,23
SO - 000202,Online,WARE-NMK1003,10/4/2018,12/6/2018,10/7/2018,14/7/2018,USD,20,14,180,11
SO - 000203,Distributor,WARE-XYS1001,10/4/2018,12/6/2018,17/6/2018,25/6/2018,USD,20,44,58,23
SO - 000204,Online,WARE-NMK1003,31/12/2017,13/6/2018,27/6/2018,1/7/2018,USD,12,38,175,43
SO - 000205,Online,WARE-NMK1003,10/4/2018,13/6/2018,25/6/2018,26/6/2018,USD,14,14,95,1
SO - 000206,Online,WARE-UHY1004,31/12/2017,13/6/2018,23/6/2018,1/7/2018,USD,13,34,231,31
SO - 000207,In-Store,WARE-NMK1003,31/12/2017,13/6/2018,20/6/2018,22/6/2018,USD,1,13,199,11
SO - 000208,In-Store,WARE-XYS1001,10/4/2018,13/6/2018,17/6/2018,19/6/2018,USD,2,5,58,39
SO - 000209,In-Store,WARE-MKL1006,31/12/2017,13/6/2018,29/6/2018,6/7/2018,USD,2,2,345,3
SO - 000210,Online,WARE-UHY1004,10/4/2018,13/6/2018,3/7/2018,13/7/2018,USD,13,17,241,20
SO - 000211,In-Store,WARE-NMK1003,10/4/2018,13/6/2018,8/7/2018,18/7/2018,USD,6,40,186,27
SO - 000212,In-Store,WARE-NMK1003,31/12/2017,13/6/2018,5/7/2018,13/7/2018,USD,7,15,144,8
SO - 000213,Online,WARE-XYS1001,31/12/2017,14/6/2018,17/6/2018,20/6/2018,USD,20,12,40,11
SO - 000214,In-Store,WARE-PUJ1005,10/4/2018,14/6/2018,6/7/2018,9/7/2018,USD,6,25,288,32
SO - 000215,In-Store,WARE-NMK1003,31/12/2017,14/6/2018,19/6/2018,20/6/2018,USD,2,13,169,40
SO - 000216,Online,WARE-PUJ1005,31/12/2017,14/6/2018,26/6/2018,1/7/2018,USD,15,18,277,21
SO - 000217,Online,WARE-UHY1004,10/4/2018,14/6/2018,26/6/2018,5/7/2018,USD,16,3,219,12
SO - 000218,Wholesale,WARE-PUJ1005,10/4/2018,14/6/2018,29/6/2018,3/7/2018,USD,26,25,306,11
SO - 000219,In-Store,WARE-XYS1001,31/12/2017,14/6/2018,30/6/2018,7/7/2018,USD,8,11,7,22
SO - 000220,Wholesale,WARE-NBV1002,31/12/2017,14/6/2018,16/6/2018,17/6/2018,USD,28,44,78,4
SO - 000221,In-Store,WARE-XYS1001,31/12/2017,14/6/2018,16/6/2018,22/6/2018,USD,3,30,28,9
SO - 000222,Distributor,WARE-XYS1001,10/4/2018,14/6/2018,28/6/2018,6/7/2018,USD,22,38,39,6
SO - 000223,Online,WARE-NMK1003,31/12/2017,14/6/2018,10/7/2018,14/7/2018,USD,19,47,122,2
SO - 000224,In-Store,WARE-XYS1001,10/4/2018,15/6/2018,7/7/2018,16/7/2018,USD,4,17,48,32
SO - 000225,Online,WARE-XYS1001,31/12/2017,15/6/2018,2/7/2018,6/7/2018,USD,18,28,1,30
SO - 000226,In-Store,WARE-NMK1003,10/4/2018,15/6/2018,19/6/2018,23/6/2018,USD,8,5,198,23
SO - 000227,In-Store,WARE-UHY1004,31/12/2017,15/6/2018,12/7/2018,18/7/2018,USD,1,32,242,5
SO - 000228,Wholesale,WARE-NMK1003,10/4/2018,15/6/2018,23/6/2018,27/6/2018,USD,27,21,200,14
SO - 000229,In-Store,WARE-PUJ1005,31/12/2017,15/6/2018,26/6/2018,2/7/2018,USD,5,49,304,25
SO - 000230,In-Store,WARE-XYS1001,10/4/2018,15/6/2018,5/7/2018,14/7/2018,USD,2,6,31,27
SO - 000231,Online,WARE-NBV1002,31/12/2017,15/6/2018,6/7/2018,16/7/2018,USD,19,47,71,33
SO - 000232,In-Store,WARE-UHY1004,31/12/2017,15/6/2018,25/6/2018,3/7/2018,USD,4,32,250,18
SO - 000233,In-Store,WARE-NMK1003,10/4/2018,15/6/2018,26/6/2018,4/7/2018,USD,10,18,167,2
SO - 000234,Distributor,WARE-NMK1003,31/12/2017,15/6/2018,9/7/2018,13/7/2018,USD,22,8,132,4
SO - 000235,In-Store,WARE-XYS1001,10/4/2018,15/6/2018,27/6/2018,30/6/2018,USD,1,24,56,21
SO - 000236,Distributor,WARE-UHY1004,10/4/2018,15/6/2018,13/7/2018,20/7/2018,USD,21,11,259,26
SO - 000237,Online,WARE-MKL1006,10/4/2018,16/6/2018,27/6/2018,1/7/2018,USD,20,50,341,25
SO - 000238,In-Store,WARE-NMK1003,31/12/2017,16/6/2018,5/7/2018,12/7/2018,USD,10,7,195,37
SO - 000239,Online,WARE-XYS1001,10/4/2018,16/6/2018,7/7/2018,15/7/2018,USD,19,2,33,40
SO - 000240,In-Store,WARE-PUJ1005,31/12/2017,16/6/2018,12/7/2018,17/7/2018,USD,2,18,279,41
SO - 000241,In-Store,WARE-NMK1003,10/4/2018,16/6/2018,14/7/2018,18/7/2018,USD,7,28,148,9
SO - 000242,In-Store,WARE-NMK1003,10/4/2018,16/6/2018,1/7/2018,10/7/2018,USD,11,47,170,17
SO - 000243,In-Store,WARE-NMK1003,10/4/2018,16/6/2018,5/7/2018,6/7/2018,USD,3,27,181,38
SO - 000244,Online,WARE-NBV1002,10/4/2018,17/6/2018,14/7/2018,24/7/2018,USD,19,21,77,12
SO - 000245,In-Store,WARE-NMK1003,10/4/2018,17/6/2018,8/7/2018,10/7/2018,USD,3,43,122,23
SO - 000246,Distributor,WARE-XYS1001,10/4/2018,17/6/2018,10/7/2018,17/7/2018,USD,24,42,36,18
SO - 000247,Online,WARE-UHY1004,10/4/2018,17/6/2018,8/7/2018,9/7/2018,USD,17,34,217,16
SO - 000248,Online,WARE-NBV1002,10/4/2018,17/6/2018,10/7/2018,15/7/2018,USD,20,37,63,12
SO - 000249,Distributor,WARE-MKL1006,10/4/2018,17/6/2018,2/7/2018,4/7/2018,USD,21,50,341,7
SO - 000250,In-Store,WARE-XYS1001,31/12/2017,17/6/2018,23/6/2018,26/6/2018,USD,3,17,36,35
SO - 000251,Online,WARE-NMK1003,31/12/2017,17/6/2018,29/6/2018,8/7/2018,USD,12,25,163,26
SO - 000252,Online,WARE-NMK1003,10/4/2018,18/6/2018,4/7/2018,14/7/2018,USD,12,21,101,43
SO - 000253,In-Store,WARE-PUJ1005,31/12/2017,18/6/2018,9/7/2018,15/7/2018,USD,1,35,321,12
SO - 000254,In-Store,WARE-PUJ1005,10/4/2018,18/6/2018,8/7/2018,9/7/2018,USD,3,9,276,8
SO - 000255,In-Store,WARE-NMK1003,31/12/2017,18/6/2018,22/6/2018,26/6/2018,USD,6,22,101,5
SO - 000256,In-Store,WARE-UHY1004,10/4/2018,18/6/2018,30/6/2018,5/7/2018,USD,5,28,248,4
SO - 000257,Distributor,WARE-NMK1003,31/12/2017,18/6/2018,15/7/2018,16/7/2018,USD,24,41,95,35
SO - 000258,Distributor,WARE-XYS1001,31/12/2017,18/6/2018,9/7/2018,16/7/2018,USD,20,28,33,5
SO - 000259,Online,WARE-XYS1001,10/4/2018,18/6/2018,11/7/2018,17/7/2018,USD,13,22,12,21
SO - 000260,In-Store,WARE-NMK1003,10/4/2018,18/6/2018,2/7/2018,7/7/2018,USD,10,26,119,35
SO - 000261,Distributor,WARE-PUJ1005,10/4/2018,18/6/2018,12/7/2018,19/7/2018,USD,23,12,290,40
SO - 000262,Online,WARE-NMK1003,10/4/2018,18/6/2018,10/7/2018,11/7/2018,USD,17,31,110,36
SO - 000263,Online,WARE-NBV1002,10/4/2018,19/6/2018,10/7/2018,17/7/2018,USD,17,25,87,39
SO - 000264,Distributor,WARE-NMK1003,10/4/2018,19/6/2018,21/6/2018,26/6/2018,USD,21,35,177,38
SO - 000265,In-Store,WARE-NMK1003,10/4/2018,19/6/2018,28/6/2018,3/7/2018,USD,11,45,94,8
SO - 000266,In-Store,WARE-NMK1003,31/12/2017,19/6/2018,28/6/2018,4/7/2018,USD,1,19,126,19
SO - 000267,In-Store,WARE-XYS1001,31/12/2017,19/6/2018,27/6/2018,1/7/2018,USD,3,16,17,9
SO - 000268,In-Store,WARE-NMK1003,10/4/2018,19/6/2018,14/7/2018,17/7/2018,USD,3,15,178,2
SO - 000269,In-Store,WARE-NBV1002,10/4/2018,19/6/2018,16/7/2018,26/7/2018,USD,1,8,76,36
SO - 000270,In-Store,WARE-PUJ1005,10/4/2018,19/6/2018,7/7/2018,14/7/2018,USD,6,27,318,1
SO - 000271,Distributor,WARE-UHY1004,31/12/2017,19/6/2018,26/6/2018,28/6/2018,USD,21,12,217,21
SO - 000272,In-Store,WARE-PUJ1005,10/4/2018,20/6/2018,11/7/2018,17/7/2018,USD,2,30,278,12
SO - 000273,Distributor,WARE-MKL1006,31/12/2017,20/6/2018,1/7/2018,6/7/2018,USD,21,19,341,23
SO - 000274,Online,WARE-NMK1003,31/12/2017,20/6/2018,9/7/2018,11/7/2018,USD,16,44,122,3
SO - 000275,In-Store,WARE-NMK1003,10/4/2018,20/6/2018,12/7/2018,17/7/2018,USD,11,24,200,47
SO - 000276,In-Store,WARE-XYS1001,31/12/2017,20/6/2018,3/7/2018,13/7/2018,USD,3,10,30,37
SO - 000277,Distributor,WARE-UHY1004,31/12/2017,20/6/2018,17/7/2018,20/7/2018,USD,25,35,233,31
SO - 000278,Online,WARE-NMK1003,31/12/2017,20/6/2018,24/6/2018,28/6/2018,USD,18,38,151,28
SO - 000279,Distributor,WARE-MKL1006,10/4/2018,21/6/2018,13/7/2018,21/7/2018,USD,24,31,353,25
SO - 000280,Wholesale,WARE-XYS1001,10/4/2018,21/6/2018,4/7/2018,7/7/2018,USD,25,40,43,7
SO - 000281,In-Store,WARE-MKL1006,31/12/2017,21/6/2018,2/7/2018,10/7/2018,USD,4,9,339,47
SO - 000282,Wholesale,WARE-UHY1004,10/4/2018,21/6/2018,29/6/2018,2/7/2018,USD,26,41,228,26
SO - 000283,Wholesale,WARE-NMK1003,10/4/2018,21/6/2018,16/7/2018,21/7/2018,USD,27,11,128,46
SO - 000284,Wholesale,WARE-XYS1001,10/4/2018,21/6/2018,16/7/2018,26/7/2018,USD,28,48,55,2
SO - 000285,Distributor,WARE-NMK1003,10/4/2018,22/6/2018,16/7/2018,24/7/2018,USD,24,4,177,33
SO - 000286,In-Store,WARE-NBV1002,10/4/2018,22/6/2018,17/7/2018,21/7/2018,USD,2,4,81,18
SO - 000287,In-Store,WARE-MKL1006,10/4/2018,22/6/2018,13/7/2018,17/7/2018,USD,1,40,365,41
SO - 000288,Online,WARE-XYS1001,10/4/2018,22/6/2018,12/7/2018,21/7/2018,USD,15,19,48,27
SO - 000289,In-Store,WARE-XYS1001,10/4/2018,22/6/2018,25/6/2018,2/7/2018,USD,11,24,11,42
SO - 000290,In-Store,WARE-NMK1003,10/4/2018,22/6/2018,10/7/2018,20/7/2018,USD,11,6,127,39
SO - 000291,Online,WARE-NMK1003,10/4/2018,22/6/2018,15/7/2018,22/7/2018,USD,13,6,201,35
SO - 000292,In-Store,WARE-MKL1006,31/12/2017,22/6/2018,11/7/2018,13/7/2018,USD,8,9,339,28
SO - 000293,In-Store,WARE-NMK1003,31/12/2017,22/6/2018,4/7/2018,9/7/2018,USD,3,3,198,9
SO - 000294,Online,WARE-NMK1003,31/12/2017,22/6/2018,18/7/2018,25/7/2018,USD,15,36,150,2
SO - 000295,Online,WARE-PUJ1005,10/4/2018,23/6/2018,1/7/2018,4/7/2018,USD,19,27,311,46
SO - 000296,In-Store,WARE-PUJ1005,10/4/2018,23/6/2018,16/7/2018,22/7/2018,USD,5,29,304,25
SO - 000297,In-Store,WARE-UHY1004,10/4/2018,23/6/2018,8/7/2018,14/7/2018,USD,5,11,247,32
SO - 000298,In-Store,WARE-PUJ1005,10/4/2018,23/6/2018,11/7/2018,18/7/2018,USD,11,24,265,41
SO - 000299,In-Store,WARE-MKL1006,10/4/2018,24/6/2018,27/6/2018,30/6/2018,USD,5,38,366,37
SO - 000300,Online,WARE-NMK1003,10/4/2018,24/6/2018,14/7/2018,15/7/2018,USD,19,38,125,14
SO - 000301,Wholesale,WARE-NMK1003,10/4/2018,24/6/2018,10/7/2018,17/7/2018,USD,27,20,182,47
SO - 000302,In-Store,WARE-NMK1003,10/4/2018,25/6/2018,10/7/2018,13/7/2018,USD,11,46,152,24
SO - 000303,In-Store,WARE-UHY1004,10/4/2018,25/6/2018,14/7/2018,15/7/2018,USD,1,38,256,25
SO - 000304,Online,WARE-NBV1002,10/4/2018,25/6/2018,18/7/2018,21/7/2018,USD,19,5,66,20
SO - 000305,Online,WARE-NMK1003,31/12/2017,25/6/2018,5/7/2018,13/7/2018,USD,17,32,156,33
SO - 000306,Wholesale,WARE-NMK1003,10/4/2018,26/6/2018,13/7/2018,17/7/2018,USD,26,36,200,10
SO - 000307,Online,WARE-PUJ1005,10/4/2018,26/6/2018,20/7/2018,22/7/2018,USD,12,1,299,7
SO - 000308,Online,WARE-NMK1003,31/12/2017,26/6/2018,15/7/2018,19/7/2018,USD,17,22,199,31
SO - 000309,Online,WARE-NMK1003,31/12/2017,26/6/2018,19/7/2018,22/7/2018,USD,15,21,157,1
SO - 000310,In-Store,WARE-NMK1003,10/4/2018,26/6/2018,16/7/2018,18/7/2018,USD,1,14,187,22
SO - 000311,Online,WARE-NBV1002,31/12/2017,26/6/2018,24/7/2018,3/8/2018,USD,18,50,84,46
SO - 000312,Distributor,WARE-UHY1004,10/4/2018,26/6/2018,1/7/2018,11/7/2018,USD,22,41,228,25
SO - 000313,Distributor,WARE-NMK1003,10/4/2018,26/6/2018,20/7/2018,24/7/2018,USD,22,35,180,29
SO - 000314,In-Store,WARE-UHY1004,31/12/2017,26/6/2018,8/7/2018,11/7/2018,USD,7,21,250,16
SO - 000315,In-Store,WARE-PUJ1005,10/4/2018,26/6/2018,12/7/2018,13/7/2018,USD,4,37,326,36
SO - 000316,Distributor,WARE-NMK1003,10/4/2018,27/6/2018,9/7/2018,17/7/2018,USD,24,14,136,18
SO - 000317,In-Store,WARE-NMK1003,10/4/2018,27/6/2018,18/7/2018,21/7/2018,USD,2,18,112,37
SO - 000318,In-Store,WARE-NMK1003,10/4/2018,27/6/2018,4/7/2018,6/7/2018,USD,3,22,108,43
SO - 000319,Wholesale,WARE-XYS1001,10/4/2018,27/6/2018,4/7/2018,10/7/2018,USD,27,48,56,42
SO - 000320,Distributor,WARE-NMK1003,10/4/2018,27/6/2018,6/7/2018,9/7/2018,USD,23,7,195,25
SO - 000321,In-Store,WARE-NBV1002,31/12/2017,27/6/2018,18/7/2018,23/7/2018,USD,9,33,82,42
SO - 000322,In-Store,WARE-UHY1004,10/4/2018,27/6/2018,29/6/2018,9/7/2018,USD,5,18,215,14
SO - 000323,In-Store,WARE-NMK1003,10/4/2018,27/6/2018,18/7/2018,22/7/2018,USD,9,6,134,47
SO - 000324,Wholesale,WARE-PUJ1005,10/4/2018,27/6/2018,13/7/2018,14/7/2018,USD,26,10,322,35
SO - 000325,Online,WARE-NMK1003,10/4/2018,27/6/2018,5/7/2018,14/7/2018,USD,15,4,176,42
SO - 000326,In-Store,WARE-NBV1002,31/12/2017,27/6/2018,12/7/2018,22/7/2018,USD,6,22,70,26
SO - 000327,Online,WARE-UHY1004,10/4/2018,27/6/2018,6/7/2018,13/7/2018,USD,18,48,252,29
SO - 000328,In-Store,WARE-PUJ1005,10/4/2018,27/6/2018,14/7/2018,18/7/2018,USD,4,28,275,45
