OrderNumber,Order Quantity,Discount Applied,Unit Price,Unit Cost
SO - 000145,4,0.4,"3,865.90","2,164.90"
SO - 000146,8,0.1,"2,304.80","1,382.88"
SO - 000147,3,0.05,"3,195.90","1,470.11"
SO - 000148,7,0.05,"6,452.10","5,161.68"
SO - 000149,3,0.3,"2,003.30",921.52
SO - 000150,8,0.05,"3,638.10","1,455.24"
SO - 000151,3,0.075,"2,278.00","1,822.40"
SO - 000152,6,0.3,924.60,582.50
SO - 000153,5,0.05,"3,926.20","3,062.44"
SO - 000154,4,0.075,"3,825.70","2,257.16"
SO - 000155,3,0.05,"2,257.90","1,377.32"
SO - 000156,8,0.075,"1,112.20",756.30
SO - 000157,8,0.05,"3,557.70","1,814.43"
SO - 000158,3,0.4,"2,371.80","1,233.34"
SO - 000159,1,0.4,857.60,686.08
SO - 000160,5,0.3,"3,892.70","2,880.60"
SO - 000161,6,0.075,"3,477.30","1,390.92"
SO - 000162,5,0.1,"3,738.60","2,803.95"
SO - 000163,5,0.3,"1,072.00",589.60
SO - 000164,7,0.05,"2,257.90","1,761.16"
SO - 000165,3,0.1,"1,058.60",751.61
SO - 000166,4,0.1,"2,492.40","1,296.05"
SO - 000167,5,0.05,"3,852.50","2,465.60"
SO - 000168,8,0.05,241.20,132.66
SO - 000169,2,0.15,"1,051.90",494.39
SO - 000170,5,0.3,227.80,107.07
SO - 000171,5,0.05,"1,078.70",506.99
SO - 000172,8,0.15,"1,005.00",743.70
SO - 000173,5,0.05,"2,485.70","1,317.42"
SO - 000174,3,0.05,"2,659.90","2,154.52"
SO - 000175,1,0.075,"2,224.40","1,579.32"
SO - 000176,7,0.2,"2,472.30","1,260.87"
SO - 000177,5,0.05,"1,011.70",799.24
SO - 000178,6,0.2,234.50,128.98
SO - 000179,4,0.075,261.30,143.72
SO - 000180,7,0.1,"4,006.60","2,844.69"
SO - 000181,7,0.05,"1,333.30",866.65
SO - 000182,5,0.05,167.50,90.45
SO - 000183,7,0.075,"3,195.90","1,821.66"
SO - 000184,1,0.05,"1,051.90",809.96
SO - 000185,4,0.1,"5,447.10","3,540.62"
SO - 000186,2,0.075,"3,182.50","1,973.15"
SO - 000187,3,0.1,891.10,632.68
SO - 000188,2,0.2,"3,892.70","2,724.89"
SO - 000189,2,0.4,"3,953.00","3,360.05"
SO - 000190,2,0.3,924.60,545.51
SO - 000191,7,0.3,"3,430.40","1,989.63"
SO - 000192,7,0.075,"1,152.40",622.30
SO - 000193,4,0.1,"1,085.40",922.59
SO - 000194,5,0.1,"5,031.70","4,025.36"
SO - 000195,7,0.15,"1,092.10",436.84
SO - 000196,7,0.05,187.60,144.45
SO - 000197,4,0.05,"3,993.20","2,835.17"
SO - 000198,5,0.05,"2,472.30","1,433.93"
SO - 000199,4,0.05,"1,206.00",844.20
SO - 000200,5,0.05,"1,728.60",985.30
SO - 000201,7,0.075,"1,983.20","1,447.74"
SO - 000202,2,0.2,"5,313.10","2,656.55"
SO - 000203,5,0.075,871.00,566.15
SO - 000204,2,0.1,"2,532.60","2,051.41"
SO - 000205,4,0.075,"5,916.10","4,673.72"
SO - 000206,1,0.075,"2,887.70","1,443.85"
SO - 000207,7,0.1,"1,855.90","1,447.60"
SO - 000208,5,0.1,207.70,135.01
SO - 000209,3,0.05,"1,058.60",772.78
SO - 000210,7,0.1,958.10,517.37
SO - 000211,7,0.2,"2,659.90","1,675.74"
SO - 000212,3,0.1,"2,217.70","1,707.63"
SO - 000213,1,0.3,"1,715.20",857.60
SO - 000214,7,0.15,"3,932.90","1,691.15"
SO - 000215,2,0.05,"2,546.00","1,909.50"
SO - 000216,1,0.075,837.50,603.00
SO - 000217,3,0.15,"1,809.00","1,302.48"
SO - 000218,8,0.075,857.60,514.56
SO - 000219,6,0.05,"1,748.70","1,101.68"
SO - 000220,1,0.075,"1,266.30",582.50
SO - 000221,5,0.1,"5,058.50","3,591.54"
SO - 000222,7,0.05,958.10,795.22
SO - 000223,8,0.15,"1,802.30",756.97
SO - 000224,4,0.075,"6,298.00","4,534.56"
SO - 000225,1,0.1,"2,499.10","1,824.34"
SO - 000226,3,0.1,871.00,705.51
SO - 000227,1,0.05,750.40,360.19
SO - 000228,8,0.075,763.80,504.11
SO - 000229,6,0.1,844.20,565.61
SO - 000230,7,0.05,261.30,112.36
SO - 000231,2,0.05,"3,999.90","2,359.94"
SO - 000232,6,0.05,"1,112.20",811.91
SO - 000233,2,0.075,"2,633.10","1,843.17"
SO - 000234,6,0.2,"1,018.40",631.41
SO - 000235,4,0.15,"5,219.30","3,444.74"
SO - 000236,1,0.15,"3,999.90","2,359.94"
SO - 000237,5,0.4,"1,721.90","1,084.80"
SO - 000238,6,0.15,737.00,456.94
SO - 000239,3,0.05,"1,219.40",695.06
SO - 000240,8,0.05,891.10,712.88
SO - 000241,1,0.15,978.20,743.43
SO - 000242,1,0.15,"3,946.30","1,657.45"
SO - 000243,2,0.4,"1,299.80",922.86
SO - 000244,4,0.05,"5,815.60","2,791.49"
SO - 000245,6,0.15,"1,092.10",655.26
SO - 000246,6,0.15,"1,072.00",643.20
SO - 000247,5,0.05,"4,020.00","2,653.20"
SO - 000248,4,0.15,984.90,669.73
SO - 000249,7,0.05,227.80,100.23
SO - 000250,3,0.15,"3,993.20","3,314.36"
SO - 000251,4,0.075,221.10,185.72
SO - 000252,6,0.075,"3,356.70","2,819.63"
SO - 000253,1,0.05,"1,701.80","1,157.22"
SO - 000254,3,0.15,"2,566.10","2,181.19"
SO - 000255,4,0.05,221.10,126.03
SO - 000256,1,0.1,"1,782.20",980.21
SO - 000257,8,0.05,"2,003.30",801.32
SO - 000258,5,0.075,"2,385.20","1,502.68"
SO - 000259,1,0.1,"2,231.10","1,784.88"
SO - 000260,1,0.05,"1,005.00",412.05
SO - 000261,7,0.05,"2,693.40","1,939.25"
SO - 000262,4,0.075,"1,105.50",652.25
SO - 000263,1,0.075,"1,909.50","1,088.42"
SO - 000264,7,0.2,"1,118.90",850.36
SO - 000265,7,0.2,"1,038.50",758.11
SO - 000266,6,0.05,"6,324.80","4,300.86"
SO - 000267,7,0.2,"1,005.00",502.50
SO - 000268,5,0.075,"1,293.10",659.48
SO - 000269,6,0.4,844.20,540.29
SO - 000270,4,0.05,247.90,195.84
SO - 000271,7,0.3,174.20,139.36
SO - 000272,6,0.1,"1,025.10",707.32
SO - 000273,3,0.15,"3,068.60","2,301.45"
SO - 000274,2,0.075,241.20,115.78
SO - 000275,1,0.2,174.20,139.36
SO - 000276,2,0.2,"2,505.80","1,804.18"
SO - 000277,7,0.15,"2,599.60","1,637.75"
SO - 000278,6,0.15,"2,278.00","1,503.48"
SO - 000279,2,0.075,"1,092.10",589.73
SO - 000280,5,0.2,"1,139.00",933.98
SO - 000281,2,0.15,"1,675.00","1,072.00"
SO - 000282,2,0.05,"1,011.70",687.96
SO - 000283,7,0.1,938.00,412.72
SO - 000284,8,0.05,"2,566.10","1,052.10"
SO - 000285,5,0.1,871.00,374.53
SO - 000286,1,0.1,"2,485.70","1,789.70"
SO - 000287,4,0.4,"2,345.00","1,922.90"
SO - 000288,2,0.05,"1,118.90",749.66
SO - 000289,4,0.1,"1,996.60","1,397.62"
SO - 000290,1,0.075,710.20,390.61
SO - 000291,4,0.05,"3,979.80","1,790.91"
SO - 000292,3,0.075,"1,025.10",440.79
SO - 000293,7,0.2,"2,519.20","1,309.98"
SO - 000294,7,0.05,"5,031.70","3,471.87"
SO - 000295,1,0.1,"1,829.10",768.22
SO - 000296,5,0.075,"1,072.00",900.48
SO - 000297,1,0.2,"2,539.30","1,828.30"
SO - 000298,1,0.075,"3,899.40","2,027.69"
SO - 000299,3,0.2,"5,045.10","3,380.22"
SO - 000300,8,0.05,"1,005.00",522.60
SO - 000301,7,0.1,"2,438.80","1,219.40"
SO - 000302,4,0.3,"3,336.60","2,035.33"
SO - 000303,4,0.15,"1,098.80",857.06
SO - 000304,2,0.075,"1,902.80",970.43
SO - 000305,4,0.075,"3,477.30","2,190.70"
SO - 000306,1,0.1,"2,599.60","1,481.77"
SO - 000307,1,0.075,"1,078.70",506.99
SO - 000308,5,0.2,"1,045.20",533.05
SO - 000309,2,0.05,"1,125.60",787.92
SO - 000310,8,0.05,"1,105.50",762.80
SO - 000311,1,0.1,"2,606.30","1,668.03"
SO - 000312,8,0.075,227.80,95.68
SO - 000313,7,0.05,167.50,123.95
SO - 000314,3,0.1,"1,145.70",538.48
SO - 000315,7,0.075,"2,599.60","2,157.67"
SO - 000316,1,0.05,"3,939.60","1,969.80"
SO - 000317,8,0.075,"2,881.00","1,584.55"
SO - 000318,2,0.05,"3,852.50","2,003.30"
SO - 000319,2,0.05,"1,139.00",546.72
SO - 000320,4,0.05,"2,519.20","2,040.55"
SO - 000321,1,0.15,"1,192.60",703.63
SO - 000322,5,0.075,"2,412.00","1,013.04"
SO - 000323,7,0.05,"2,479.00","2,057.57"
SO - 000324,7,0.1,"1,956.40","1,330.35"
SO - 000325,5,0.3,"1,078.70",722.73
SO - 000326,1,0.075,"1,212.70",945.91
SO - 000327,5,0.075,978.20,821.69
SO - 000328,3,0.05,174.20,120.20
SO - 000329,3,0.15,"1,125.60",630.34
SO - 000330,6,0.15,"1,065.30",468.73
SO - 000331,5,0.075,"3,892.70","2,724.89"
SO - 000332,2,0.3,207.70,120.47
SO - 000333,7,0.3,"1,185.90",948.72
SO - 000334,2,0.15,"2,586.20","1,629.31"
SO - 000335,4,0.3,"2,579.50","1,960.42"
SO - 000336,8,0.075,"6,378.40","2,806.50"
SO - 000337,7,0.2,"3,008.30","2,226.14"
SO - 000338,3,0.075,"1,755.40",930.36
SO - 000339,8,0.075,"1,139.00",740.35
SO - 000340,5,0.075,"6,157.30","4,556.40"
SO - 000341,7,0.1,"2,231.10","1,093.24"
SO - 000342,7,0.1,"2,479.00","1,859.25"
SO - 000343,4,0.05,"6,391.80","4,793.85"
SO - 000344,2,0.05,"1,139.00",660.62
SO - 000345,3,0.1,"2,586.20","1,681.03"
SO - 000346,4,0.05,"3,899.40","1,871.71"
SO - 000347,8,0.05,951.40,599.38
SO - 000348,1,0.05,"5,607.90","3,476.90"
SO - 000349,2,0.075,"1,165.80",827.72
SO - 000350,2,0.05,"1,949.70","1,520.77"
SO - 000351,8,0.1,"3,685.00","2,690.05"
SO - 000352,2,0.4,"2,633.10","1,816.84"
SO - 000353,1,0.075,"1,072.00",460.96
SO - 000354,1,0.075,"3,537.60","1,910.30"
SO - 000355,8,0.2,"1,092.10",622.50
SO - 000356,4,0.05,"1,748.70","1,136.66"
SO - 000357,8,0.075,891.10,739.61
SO - 000358,5,0.05,"3,082.00","1,510.18"
SO - 000359,5,0.075,"1,125.60",776.66
SO - 000360,6,0.075,"1,252.90",651.51
SO - 000361,1,0.075,837.50,527.63
SO - 000362,1,0.075,"1,031.80",773.85
SO - 000363,4,0.15,"2,385.20","1,454.97"
SO - 000364,2,0.05,"1,802.30","1,153.47"
SO - 000365,5,0.05,"1,018.40",753.62
SO - 000366,7,0.4,"3,946.30","1,815.30"
SO - 000367,7,0.2,"3,953.00","2,095.09"
SO - 000368,6,0.075,"5,098.70","3,416.13"
SO - 000369,8,0.075,"3,758.70","1,954.52"
SO - 000370,7,0.15,911.20,610.50
SO - 000371,3,0.4,904.50,379.89
SO - 000372,3,0.05,911.20,410.04
SO - 000373,5,0.3,227.80,134.40
SO - 000374,4,0.075,254.60,117.12
SO - 000375,3,0.075,683.40,444.21
SO - 000376,7,0.05,"3,919.50","2,234.12"
SO - 000377,8,0.05,"1,092.10",786.31
SO - 000378,4,0.05,924.60,536.27
SO - 000379,8,0.05,"1,018.40",794.35
SO - 000380,7,0.2,"1,788.90","1,305.90"
SO - 000381,2,0.3,944.70,538.48
SO - 000382,3,0.1,"3,959.70","2,573.81"
SO - 000383,5,0.05,167.50,70.35
SO - 000384,2,0.05,"3,872.60","1,975.03"
SO - 000385,8,0.05,"6,539.20","3,858.13"
SO - 000386,1,0.1,"1,025.10",779.08
SO - 000387,3,0.1,938.00,572.18
SO - 000388,3,0.075,"1,045.20",804.80
SO - 000389,8,0.15,167.50,112.23
SO - 000390,5,0.075,"1,721.90","1,377.52"
SO - 000391,3,0.1,676.70,466.92
SO - 000392,2,0.075,167.50,82.08
SO - 000393,5,0.075,"1,118.90",895.12
SO - 000394,3,0.075,"1,139.00",933.98
SO - 000395,4,0.1,"1,748.70",751.94
SO - 000396,8,0.05,"1,728.60","1,140.88"
SO - 000397,8,0.075,"1,112.20",500.49
SO - 000398,6,0.05,"2,385.20","1,454.97"
SO - 000399,8,0.3,221.10,172.46
SO - 000400,7,0.05,"5,708.40","2,682.95"
SO - 000401,1,0.3,"1,038.50",830.80
SO - 000402,4,0.15,"3,993.20","3,234.49"
SO - 000403,8,0.2,"1,085.40",792.34
SO - 000404,7,0.1,"3,886.00","2,020.72"
SO - 000405,3,0.2,"3,986.50","2,670.96"
SO - 000406,3,0.075,"1,206.00",988.92
SO - 000407,1,0.3,"1,842.50","1,050.23"
SO - 000408,3,0.05,"5,051.80","2,930.04"
SO - 000409,1,0.075,"1,165.80",466.32
SO - 000410,8,0.075,"3,966.40","2,340.18"
SO - 000411,3,0.2,"1,802.30","1,495.91"
SO - 000412,5,0.075,"1,105.50",851.24
SO - 000413,7,0.05,"1,889.40","1,398.16"
SO - 000414,7,0.075,"1,018.40",661.96
SO - 000415,5,0.05,"3,865.90","2,822.11"
SO - 000416,7,0.1,998.30,449.24
SO - 000417,2,0.075,254.60,127.30
SO - 000418,5,0.4,703.50,316.58
SO - 000419,6,0.05,"1,092.10",546.05
SO - 000420,4,0.05,"1,038.50",560.79
SO - 000421,4,0.15,"2,398.60","1,894.89"
SO - 000422,4,0.05,897.80,368.10
SO - 000423,7,0.15,"5,212.60","3,179.69"
SO - 000424,3,0.05,254.60,206.23
SO - 000425,4,0.075,"3,926.20","2,120.15"
SO - 000426,8,0.1,"1,165.80",582.90
SO - 000427,1,0.15,"3,859.20","2,354.11"
SO - 000428,6,0.05,167.50,100.50
SO - 000429,8,0.05,"1,681.70",891.30
SO - 000430,8,0.05,924.60,665.71
SO - 000431,6,0.1,"3,966.40","3,371.44"
SO - 000432,7,0.1,938.00,450.24
SO - 000433,6,0.2,"1,983.20","1,090.76"
SO - 000434,7,0.075,"2,586.20","2,094.82"
SO - 000435,3,0.05,"3,061.90","2,051.47"
SO - 000436,1,0.2,"1,051.90",452.32
SO - 000437,8,0.15,261.30,104.52
SO - 000438,6,0.05,"6,143.90","3,071.95"
SO - 000439,7,0.2,"2,472.30","1,928.39"
SO - 000440,3,0.075,"3,892.70","3,075.23"
SO - 000441,1,0.05,964.80,492.05
SO - 000442,8,0.2,"3,832.40","3,104.24"
SO - 000443,7,0.2,964.80,781.49
SO - 000444,1,0.05,"1,118.90",794.42
SO - 000445,8,0.05,180.90,74.17
SO - 000446,7,0.05,844.20,346.12
SO - 000447,7,0.2,"3,490.70","1,780.26"
SO - 000448,5,0.2,"1,112.20",778.54
SO - 000449,1,0.05,"1,072.00",568.16
SO - 000450,3,0.075,"1,078.70",906.11
SO - 000451,7,0.075,"5,433.70","3,857.93"
SO - 000452,8,0.05,"3,906.10","3,163.94"
SO - 000453,4,0.15,"2,458.90","2,090.07"
SO - 000454,3,0.075,"1,112.20",856.39
SO - 000455,4,0.05,"1,065.30",745.71
SO - 000456,6,0.075,"1,862.60","1,359.70"
SO - 000457,7,0.2,"1,822.40","1,184.56"
SO - 000458,7,0.05,"1,065.30",575.26
SO - 000459,3,0.05,"5,875.90","4,289.41"
SO - 000460,3,0.075,"1,728.60",708.73
SO - 000461,4,0.05,"3,832.40","2,452.74"
SO - 000462,1,0.05,"1,025.10",861.08
SO - 000463,4,0.05,"1,815.70",944.16
SO - 000464,2,0.075,"3,839.10","1,689.20"
SO - 000465,1,0.05,"2,425.40","1,430.99"
SO - 000466,6,0.15,"3,865.90","1,971.61"
SO - 000467,2,0.075,"2,653.20","1,857.24"
SO - 000468,2,0.15,991.60,594.96
SO - 000469,5,0.1,"2,512.50","2,060.25"
SO - 000470,6,0.1,"2,613.00","1,332.63"
SO - 000471,5,0.15,"5,721.80","3,375.86"
SO - 000472,2,0.075,"1,768.80",831.34
SO - 000473,5,0.1,"2,606.30","1,251.02"
SO - 000474,8,0.1,"2,452.20","1,569.41"
SO - 000475,1,0.05,964.80,694.66
SO - 000476,5,0.05,"1,125.60",562.80
SO - 000477,5,0.05,857.60,548.86
SO - 000478,7,0.075,"3,906.10","1,796.81"
SO - 000479,5,0.15,"1,078.70",506.99
SO - 000480,1,0.4,"2,432.10","1,264.69"
SO - 000481,8,0.05,958.10,536.54
SO - 000482,8,0.05,864.30,726.01
SO - 000483,2,0.05,864.30,700.08
SO - 000484,6,0.075,891.10,579.22
SO - 000485,5,0.2,"3,979.80","2,069.50"
SO - 000486,5,0.1,837.50,469.00
SO - 000487,2,0.05,"2,318.20","1,738.65"
SO - 000488,6,0.05,"1,822.40",801.86
SO - 000489,4,0.15,"1,165.80",664.51
SO - 000490,7,0.05,234.50,187.60
SO - 000491,5,0.4,"2,452.20","1,912.72"
SO - 000492,8,0.05,261.30,133.26
SO - 000493,4,0.1,"1,031.80",453.99
SO - 000494,3,0.1,"3,082.00","1,849.20"
SO - 000495,3,0.05,"6,405.20","3,138.55"
SO - 000496,6,0.05,"1,822.40",947.65
SO - 000497,8,0.05,"1,279.70","1,062.15"
SO - 000498,1,0.2,"3,932.90","2,635.04"
SO - 000499,3,0.15,201.00,80.40
SO - 000500,1,0.1,"3,946.30","2,131.00"
SO - 000501,7,0.2,"1,909.50","1,317.56"
SO - 000502,7,0.2,"2,412.00","1,109.52"
SO - 000503,6,0.05,964.80,675.36
SO - 000504,5,0.075,"1,996.60","1,457.52"
SO - 000505,7,0.15,"1,045.20",700.28
SO - 000506,1,0.2,"3,879.30","3,219.82"
SO - 000507,6,0.075,"5,976.40","3,466.31"
SO - 000508,1,0.05,"2,257.90","1,264.42"
SO - 000509,4,0.05,241.20,154.37
SO - 000510,8,0.075,"1,983.20",793.28
SO - 000511,1,0.05,"3,919.50","3,331.58"
SO - 000512,7,0.1,241.20,135.07
SO - 000513,4,0.075,"3,946.30","2,012.61"
SO - 000514,3,0.05,"3,966.40","3,054.13"
SO - 000515,5,0.1,"1,829.10","1,463.28"
SO - 000516,6,0.075,"2,733.60","1,230.12"
SO - 000517,8,0.075,844.20,717.57
SO - 000518,4,0.05,"6,231.00","4,922.49"
SO - 000519,3,0.05,"1,159.10",614.32
SO - 000520,1,0.15,"3,966.40","2,379.84"
SO - 000521,4,0.1,"1,105.50",740.69
SO - 000522,5,0.05,"1,125.60",731.64
SO - 000523,5,0.15,897.80,709.26
SO - 000524,5,0.2,207.70,83.08
SO - 000525,5,0.15,"3,959.70","2,138.24"
SO - 000526,7,0.075,"1,755.40",912.81
SO - 000527,3,0.2,"3,001.60","1,650.88"
SO - 000528,6,0.4,"1,031.80",464.31
SO - 000529,4,0.1,"3,966.40","2,776.48"
SO - 000530,5,0.1,"1,681.70","1,126.74"
SO - 000531,1,0.05,"1,172.50",809.03
SO - 000532,7,0.15,716.90,473.15
SO - 000533,7,0.075,"6,465.50","3,879.30"
SO - 000534,1,0.075,241.20,101.30
SO - 000535,1,0.05,"1,929.60",849.02
SO - 000536,8,0.1,"3,953.00","3,280.99"
SO - 000537,2,0.05,"2,492.40","1,320.97"
SO - 000538,7,0.075,241.20,185.72
SO - 000539,5,0.05,951.40,380.56
SO - 000540,4,0.2,"6,217.60","5,284.96"
SO - 000541,6,0.075,"2,351.70","1,246.40"
SO - 000542,6,0.1,"1,132.30",871.87
SO - 000543,3,0.1,"1,145.70",607.22
SO - 000544,3,0.075,"3,725.20","2,048.86"
SO - 000545,7,0.05,944.70,689.63
SO - 000546,3,0.075,"1,219.40",560.92
SO - 000547,4,0.075,"1,051.90",736.33
SO - 000548,2,0.075,207.70,135.01
SO - 000549,4,0.05,"1,862.60","1,098.93"
SO - 000550,3,0.1,"1,889.40","1,152.53"
SO - 000551,8,0.15,"2,653.20","2,016.43"
SO - 000552,2,0.075,"3,953.00","1,818.38"
SO - 000553,3,0.05,227.80,191.35
SO - 000554,1,0.2,"3,879.30","1,551.72"
SO - 000555,1,0.15,"1,045.20",804.80
SO - 000556,2,0.1,"5,071.90","2,535.95"
SO - 000557,1,0.15,241.20,144.72
SO - 000558,8,0.2,"2,298.10","1,539.73"
SO - 000559,7,0.2,"3,845.80","1,845.98"
SO - 000560,6,0.075,"2,425.40","1,042.92"
SO - 000561,8,0.05,"1,206.00",663.30
SO - 000562,8,0.075,221.10,179.09
SO - 000563,3,0.075,"3,825.70","2,563.22"
SO - 000564,5,0.075,857.60,394.50
SO - 000565,3,0.075,"3,825.70","2,563.22"
SO - 000566,8,0.075,"1,996.60",898.47
SO - 000567,1,0.05,234.50,121.94
SO - 000568,8,0.075,"1,896.10",948.05
SO - 000569,2,0.1,207.70,87.23
SO - 000570,1,0.075,167.50,125.63
SO - 000571,1,0.1,"3,986.50","2,591.23"
SO - 000572,8,0.4,"2,546.00","1,018.40"
SO - 000573,1,0.075,864.30,380.29
SO - 000574,1,0.05,"1,876.00","1,350.72"
SO - 000575,5,0.075,247.90,163.61
SO - 000576,2,0.075,"5,051.80","3,435.22"
SO - 000577,4,0.4,"1,011.70",667.72
SO - 000578,6,0.2,"1,862.60","1,247.94"
SO - 000579,6,0.1,"1,246.20",660.49
SO - 000580,1,0.1,"1,688.40","1,215.65"
SO - 000581,8,0.1,"5,916.10","4,673.72"
SO - 000582,3,0.1,"5,132.20","2,771.39"
SO - 000583,2,0.05,"1,118.90",839.18
SO - 000584,6,0.15,"5,835.70","3,968.28"
SO - 000585,5,0.2,"6,036.70","3,139.08"
SO - 000586,7,0.4,"1,031.80",825.44
SO - 000587,5,0.1,"5,956.30","4,407.66"
SO - 000588,7,0.2,"3,932.90","2,989.00"
SO - 000589,5,0.2,"5,889.30","4,416.98"
SO - 000590,8,0.075,"2,458.90","1,647.46"
SO - 000591,8,0.075,"3,912.80","2,034.66"
SO - 000592,2,0.075,"5,668.20","3,570.97"
SO - 000593,1,0.15,"5,547.60","4,216.18"
SO - 000594,1,0.15,201.00,96.48
SO - 000595,6,0.075,247.90,198.32
SO - 000596,1,0.05,"3,859.20","3,125.95"
SO - 000597,3,0.05,"5,487.30","3,127.76"
SO - 000598,6,0.15,"1,809.00","1,157.76"
SO - 000599,7,0.4,"2,405.30","1,731.82"
SO - 000600,1,0.15,790.60,672.01
SO - 000601,2,0.1,"3,202.60","2,177.77"
SO - 000602,5,0.2,"1,058.60",645.75
SO - 000603,8,0.4,"1,768.80",778.27
SO - 000604,5,0.1,971.50,534.33
SO - 000605,4,0.1,938.00,478.38
SO - 000606,5,0.2,958.10,756.90
SO - 000607,8,0.05,"3,705.10","2,111.91"
SO - 000608,8,0.075,"1,025.10",686.82
SO - 000609,7,0.075,"2,592.90","1,711.31"
SO - 000610,1,0.15,"3,865.90","3,054.06"
SO - 000611,8,0.05,"5,634.70","4,226.03"
SO - 000612,3,0.05,971.50,621.76
SO - 000613,4,0.15,"1,051.90",694.25
SO - 000614,7,0.075,"1,051.90",683.74
SO - 000615,2,0.2,"1,139.00",854.25
SO - 000616,8,0.075,"5,849.10","3,041.53"
SO - 000617,4,0.075,"2,264.60","1,222.88"
SO - 000618,7,0.075,"1,125.60",889.22
SO - 000619,7,0.05,"1,078.70",755.09
SO - 000620,4,0.15,"2,405.30","1,635.60"
SO - 000621,1,0.05,"1,072.00",707.52
SO - 000622,1,0.3,"5,808.90","3,369.16"
SO - 000623,6,0.2,"3,926.20","1,845.31"
SO - 000624,8,0.1,201.00,160.80
SO - 000625,1,0.1,"1,882.70","1,430.85"
SO - 000626,6,0.05,"2,532.60","1,089.02"
SO - 000627,8,0.05,207.70,135.01
SO - 000628,6,0.2,241.20,180.90
SO - 000629,6,0.075,"1,152.40",507.06
SO - 000630,5,0.3,"3,879.30","2,288.79"
SO - 000631,4,0.1,"3,865.90","3,170.04"
SO - 000632,6,0.075,"1,835.80","1,248.34"
SO - 000633,5,0.15,234.50,180.57
SO - 000634,2,0.15,757.10,507.26
SO - 000635,8,0.05,"1,005.00",703.50
SO - 000636,2,0.05,"6,391.80","5,113.44"
SO - 000637,8,0.15,"2,740.30","1,123.52"
SO - 000638,3,0.15,924.60,536.27
SO - 000639,5,0.15,"1,031.80",505.58
SO - 000640,1,0.2,"1,098.80",769.16
SO - 000641,3,0.05,"1,132.30",713.35
SO - 000642,3,0.05,"2,465.60","1,602.64"
SO - 000643,6,0.1,"1,005.00",462.30
SO - 000644,2,0.1,"1,246.20","1,021.88"
SO - 000645,6,0.3,"1,025.10",809.83
SO - 000646,1,0.2,"1,902.80","1,084.60"
SO - 000647,2,0.05,"3,738.60","2,056.23"
SO - 000648,6,0.075,"1,996.60","1,237.89"
SO - 000649,3,0.15,"2,331.60","1,818.65"
SO - 000650,6,0.1,"1,078.70",701.16
SO - 000651,4,0.15,"1,788.90","1,216.45"
SO - 000652,3,0.1,241.20,161.60
SO - 000653,5,0.1,"1,159.10",533.19
SO - 000654,7,0.1,"1,051.90",515.43
SO - 000655,3,0.15,"5,969.70","3,343.03"
SO - 000656,3,0.3,"3,919.50","2,508.48"
SO - 000657,4,0.15,"1,118.90",492.32
SO - 000658,5,0.05,"1,118.90",570.64
SO - 000659,4,0.1,"5,427.00","3,744.63"
SO - 000660,2,0.05,"3,725.20","2,570.39"
